Unnamed: 0,titulo,resumo,palavrasChave,areasCiencia,texto_completo,llama_response
5589,a experimentação e o ensino de ciências: diferentes abordagens nas aulas de química.,"esta pesquisa teve como principal objetivo caracterizar, por meio de uma análise da dinâmica discursiva da sala de aula, a forma como professores de química do agreste sergipano desenvolvem aulas práticas envolvendo experimentos. muito tem se falado sobre a importância atribuída à experimentação no ensino de ciências e o quanto ela contribui para o processo de ensino-aprendizagem de química. entretanto, poucos professores têm clareza sobre os diferentes tipos de abordagem à experimentação e como tais abordagens podem contribuir para a aprendizagem de conceitos e uma boa percepção acerca da natureza da ciência e dos saberes científicos. nesse sentido, consideramos essencial entendermos como os professores fazem uso da experimentação em sala de aula, tendo em vista um ambiente ainda pouco investigado, como a região agreste do estado de sergipe. acreditamos, ainda, que a discussão sobre as diferentes formas de abordagem à experimentação, por meio de uma descrição da dinâmica discursiva da sala de aula, possa contribuir para que os professores repensem sua prática pedagógica de forma mais clara e com critérios mais objetivos. inicialmente, entrevistamos cinco professores de química que atuam em escolas que compõem a diretoria regional de educação 3 (dre3) da rede estadual de ensino. as entrevistas foram transcritas e analisadas tendo em vista a verificação de indicativos da forma como os professores abordavam a experimentação em sua prática cotidiana, baseando-se em categorias presentes na literatura, sendo elas: demonstrativa, verificacionista e investigativa. desse modo, consideramos que dois dos professores alternavam as abordagens investigativa e demonstrativa. outros dois utilizavam a experimentação na forma demonstrativa e verificacionista. por fim, um deles afirmou não fazer uso de atividades experimentais em suas aulas. verificamos, também, que todos os professores entrevistados ressaltaram o caráter motivador das atividades experimentais para os alunos. em seguida, selecionamos dois desses professores para a coleta de dados em sala de aula. inspirados em uma perspectiva etnográfica de pesquisa, assistimos algumas aulas de ambos os professores e filmamos uma aula envolvendo atividades experimentais de cada um deles. para análise destas aulas, construímos mapas de episódios, os quais favoreceram uma melhor visualização destas. as interações discursivas desenvolvidas nas aulas dos dois professores foram analisadas tomando como base algumas categorias da ferramenta analítica proposta por mortimer e scott (2002) e ampliada por mortimer et al (2007). tais categorias foram associadas às principais abordagens à experimentação presentes na literatura. nessa perspectiva, observamos que a abordagem experimental utilizada por um dos professores se aproximava de uma abordagem verificacionista, enquanto que a do outro se aproximava de uma abordagem investigativa, entretanto com algumas particularidades importantes, como por exemplo, o alto grau de direcionamento do professor no desenvolvimento de toda a atividade. dessa forma, tornou-se evidente a necessidade de elaboração de uma nova categoria que contemplasse aspectos de uma atividade investigativa, mas que levasse em conta a presença marcante do professor em sua condução. assim, denominamos essa nova categoria como investigativa guiada, a qual é caracterizada pela investigação em torno de uma questão, cabendo ao professor avaliar, aprovando ou não, as decisões dos alunos, bem como se certificar das concepções que ancoram as suas ações durante todo o desenvolvimento da atividade. ",experimentação; dinâmica discursiva,q,a experimentação e o ensino de ciências: diferentes abordagens nas aulas de química. q,q
3289,o recomeçar a cada memória: relatos (auto)biográficos de professores de química da rede estadual pública paulistana.,"o que se desejou entender com esse trabalho foi como se dá a (re)construção da identidade profissional do professor de química da rede estadual pública paulistana. a partir dos relatos de história de vida de professores de química foi possível entender como o processo histórico influencia seu ingresso e permanência na profissão, bem como suas perspectivas com relação a ela. muito pouco se sabe sobre a vida e a profissão deste professor de química e ouvir a sua voz cria a possibilidade de desvelar a identidade profissional desse indivíduo e, por conseqüência, de acordo com ferrarotti (1988), também a identidade coletiva dessa categoria específica de trabalhadores. o presente trabalho visa entender como essas influências se manifestam no professor de química e como esse processo é refletido na construção de uma identidade profissional docente. a história de cada colaborador é contada, primeiramente, pela voz do próprio professor. além disso, os colaboradores, um a um, (re)traçam seu percurso para a escolha da docência, ressaltando os fatores mais relevantes dessa trajetória idiossincrática, que se faz coletiva em suas coerências. dessas convergências é possível criar um quadro das singularidades que esboçam o coletivo desse grupo de docentes.",história oral; identidade profissional,q,o recomeçar a cada memória: relatos (auto)biográficos de professores de química da rede estadual pública paulistana. q,q
5079,processos de significação conceitual de elemento e substância no ensino fundamental em ciências,"este trabalho trata de processos de significação conceitual de elemento e substância no ensino fundamental, em ciências naturais, considerando dificuldades de aprendizagem apresentadas pelos estudantes na compreensão dos referidos conceitos, bem como, críticas à tradição curricular que se instituiu, na área, caracterizada por uma forte centralidade na perspectiva biológica de abordagem dos conceitos/conteúdos escolares. os dois conceitos mencionados são conceitos estruturantes do pensamento químico e, assim, fundamentais à compreensão dos conteúdos do ensino escolar, na área. a pesquisa abrangeu uma análise de livros didáticos quanto a abordagens referentes aos dois conceitos. ainda, o acompanhamento, gravação, transcrição e análise de aulas de ciências naturais, junto a uma turma de 8ª série, com foco nos processos de significação conceitual desses dois conceitos. com base na vertente vigotskiana, a atenção se voltou para os processos de significação conceitual considerando a importância da apropriação e o uso da palavra e a interação entre os sujeitos como meios para a construção de conhecimentos produzidos intencionalmente na escola. discussões e reflexões sobre o conhecimento escolar, na área, com base na vertente epistemológica bachelardiana, consideram a visão de alguns obstáculos epistemológicos que acompanham o ensino das ciências, que acabam por se caracterizar como entraves aos processos de aprendizagem com significação conceitual. resultados indicam problemas nas abordagens de conceitos químicos ao longo do ensino fundamental apresentadas em livros didáticos referentes a simplificação dos conceitos, sem levar em conta os graus de complexificação dos mesmos, o que exige dos estudantes altos níveis de abstração. nas aulas de ciências naturais acompanhadas, observou-se a falta de problematização dos conhecimentos nas abordagens, por parte do professor, o que compromete a apropriação dos conceitos e a construção de aprendizagens sólidas e duradouras. o trabalho destaca a importância do aprendizado desses dois conceitos no ensino fundamental tanto para a formação geral dos estudantes, como educação básica voltada à cidadania responsável, quanto para o seguimento do fluxo da escolarização, como formação para o ensino superior e para o exercício de uma profissão. o trabalho defende o uso da palavra, com retomadas que favoreçam os processos de evolução conceitual, por meio de sistemáticos processos de produção de sentidos aos conceitos escolares. indica para a necessidade de esforços dirigidos à melhoria da formação do professor de ciências naturais, em especial, no que se refere à potencialização de relações dinâmicas entre as abordagens dos conhecimentos escolares e a perspectiva da significação conceitual, por parte dos estudantes.",significação conceitual; elemento e substância; ciências naturais.,q,processos de significação conceitual de elemento e substância no ensino fundamental em ciências q,q
7953,material didático de química na eja: uma proposta a partir dos três momentos pedagógicos,"o ensino de química na educação básica tem sido considerado um desafio, pois os conceitos trabalhados têm seus fundamentos estruturados em um mundo submicroscópico baseado em modelos simbólico-matemáticos que, para compreendê-los, exige um constate exercício de abstratividade. essa dependência pela racionalidade é de grande dificuldade para os estudantes do ensino médio, e mais acentuado para aqueles da educação de jovens e adultos (eja), cujos sujeitos, em algum tempo de sua vida escolar, foram excluídos pelo sistema por diversos motivos, sendo os mais comuns a necessidade de trabalhar logo cedo e a gravidez precoce. isso acentua a necessidade pelo entendimento do mundo a partir dos elementos concretos da realidade macroscópica. nesse movimento, ao retomarem aos estudos escolares formais, esses sujeitos se deparam com a possibilidade de uma nova exclusão devido à dificuldade que apresentam em ter que lidar com uma grande diversidade de demandas pessoais, incluindo os estudos e a sempre presente possibilidade de reprovação. diante desse quadro, o professor de química tem o desafio de tornar acessível o conhecimento científico didaticamente transposto, de modo que isso tenha significado para a vida dos estudantes da eja. contudo, as pesquisas sobre essa modalidade no ensino médio têm sido pouco exploradas e, em relação aos materiais didáticos, especificamente para a química, só aparecem por volta de 2006. nesse sentido, o objetivo da presente pesquisa foi organizar um material didático de química no ceebja, estruturado na metodologia dos três momentos pedagógicos, que atenda a heterogeneidade dos perfis dos estudantes de eja. para isso, foi realizada uma análise de conteúdo dos materiais didáticos para o ensino de química utilizados no centro estadual de educação básica para jovem e adulto professora linda eiko akagi miyadi, de apucarana/pr. a análise utilizou critérios organizados a partir da reestruturação dos quesitos constantes nas fichas de avaliação de livros didáticos para a eja (pnld-eja), a partir do conteúdo “reações químicas”, sendo esse um conteúdo estrutural para a química e o seu ensino. como conclusão, o estudo mostra que os materiais que vêm sendo utilizados na eja não se adequam às necessidades e ao perfil dos estudantes, sendo esse um dos elementos que contribuem para a percepção de que o ensino e a aprendizagem desse componente curricular sejam difíceis. por fim, apresenta-se uma proposta de material didático para o ensino de química direcionado à educação de jovens e adultos sobre o conteúdo reações químicas, previsto no currículo da eja e constante nos materiais analisados. para a concepção e elaboração do material, tomou-se como referência para a organização curricular os três momentos pedagógicos propostos por delizoicov, angotti e pernambuco.",educação de jovens e adultos;ensino de química;três momentos pedagógicos;material didático;ensino de química na eja,q,material didático de química na eja: uma proposta a partir dos três momentos pedagógicos q,q
8202,objetos escolares no ensino de biologia: entre práticas e tradições no gabinete de história natural do colégio pedro ii (1960-1970),"investigamos sócio-historicamente como os objetos escolares produzem tanto o currículo como a docência no contexto das práticas engendradas no laboratório do gabinete de história natural do colégio pedro ii nos anos 60/70. articulamos diferentes prismas teóricos para analisar como tais objetos constituem e são constituídos pela disciplina escolar biologia e por sua comunidade disciplinar. adotamos o termo biologia para a disciplina escolar nos anos 60/70, pois a mudança de designação disciplinar realizou-se de forma gradual, não sendo possível determinar quando ocorre oficialmente a alteração da nomeação disciplinar de história natural para biologia. a análise sustenta-se no entendimento de que a modificação de termos disciplinares é um processo contínuo, e não uma ruptura, entre o ensino de uma ‘antiga’ disciplina, a história natural, para uma ‘nova’, a biologia.com base no arsenal teórico de ivor goodson, entendemos as disciplinas escolares como construtos sócio-históricos que a partir de processos dinâmicos de estabilidade e mudança se constituem em torno de ‘tradições’ e ‘inovações’. balizadas também por contribuições da história da educação, da cultura escolar e da cultura material escolar, compreendemos os objetos como vestígios histórico-culturais que sinalizam práticas curriculares e tradições pedagógicas que se configuram a partir das singularidades escolares. dialogamos também com a antropologia para refletir sobre a formação da docência a partir de seu processo dialógico com o objeto. nessa articulação, utilizamos como principal fonte o livro de registro das aulas práticas de laboratório do gabinete de história natural além de depoimentos de ex-professores. entendemos os documentos como ‘restos arqueológicos’, testemunhos de embates sociais e curriculares e das práticas pedagógicas gestadas no cotidiano escolar, que nos permitem ‘mergulhar’ no interior do fazer escolar. nesse contexto, o microscópio pode ser percebido como objeto central na ação docente que demarca a comunidade disciplinar, concretizando o ensino em torno de práticas experimentais, dialogando com o movimento renovador do ensino de ciências, com a retórica de modernização das ciências biológicas e com a reforma do ensino secundário. este objeto é percebido como agente modernizador e estruturador da disciplina em questão. constatamos que outros objetos escolares, como os animais, circunscrevem rituais que se associam às tradições de caráter naturalista no âmbito das técnicas de dissecções. além disso, a investigação indica que o conjunto de artefatos contribuiu para a constituição do ‘bom’ professor como aquele que mobiliza objetos para atividades práticas na biologia escolar, caracterizando o ensino em torno de procedimentos e rituais associados a um caráter experimental ligado ao método científico e ao ensino prático.",currículo;ensino de biologia;objetos escolares;microscópio;animais,b,objetos escolares no ensino de biologia: entre práticas e tradições no gabinete de história natural do colégio pedro ii (1960-1970) b,b
8044,desenvolvimento de competências e habilidades apontadas no enem para a área de química: ensino por meio de situações-problema,"considerando que o exame nacional do ensino médio influencia práticas de ensino, este trabalho tem como proposta verificar como situações-problema (zabala e arnau, 2010) articuladas ao ensino de química podem promover o desenvolvimento de competências e habilidades exigidas pelo enem. a sequência de atividades foi aplicada em um cursinho popular comunitário. os objetivos de trabalho consistiram em analisar as atividades procurando evidenciar as principais dificuldades conceituais e cognitivas dos alunos na resolução dos problemas, realizar um acompanhamento individual dos estudantes para verificar evoluções ou superações das dificuldades, contribuir com práticas pedagógicas no ensino de química, e desenvolver um estudo dos principais documentos oficiais. de forma contraditória as próprias questões do enem nem sempre desenvolvem competências e habilidades, apresentando um caráter conteudista. assim, criamos e aplicamos situações que problematizaram o ensino. os dados deste trabalho foram obtidos através da resolução de questões reelaboradas do próprio enem e outras criadas. como análise de dados foi empregada a ferramenta análise de conteúdos proposta por bardin (1977), apoiando-se em referenciais teóricos que investigam o desenvolvimento de habilidades cognitivas de alta e baixa ordem para a criação de categorias (marcondes e suart (2008) e zoller, (1993)). os alunos apresentaram melhores rendimentos em questões de baixa ordem cognitiva que, segundo zoller (1993), significa maior facilidade em recordar a informação, aplicar conhecimentos ou algoritmos memorizados. quanto ao rendimento em questões que demandaram alta cognição, incialmente apresentou-se baixo, mas após a participação nas sequencias de atividades, houve um aumento gradual e significativo. o que representou o domínio de investigação e resolução de problemas muitas vezes pouco familiares aos alunos, tomada de decisões e desenvolvimento de pensamento crítico e avaliativo para encontrar soluções às questões (zoller, 1993). acreditamos que conhecer o aluno de forma individualizada foi importante para que pudéssemos acompanhar suas dificuldades e avanços. diversas foram as razões que comprometeram a resolução adequada dos problemas propostos, como o nível de envolvimento e compreensão dos alunos, a forma de aplicação dos conhecimentos adquiridos, e também, dificuldades conceituais e de raciocínios matemáticos. apesar das dificuldades, ensinar por meio de competências e habilidades certamente correspondem à forma ideal de ensino. e como educadores temos a obrigação de enfrentar os desafios cotidianos da educação.",ensino de química;habilidades cognitivas;situações-problemas;aprendizagem;enem,q,desenvolvimento de competências e habilidades apontadas no enem para a área de química: ensino por meio de situações-problema q,q
2703,o papel da experimentação no estudo do solo através do ensino de química: relações entre ensino e aprendizagem numa perspectiva construtivista.,"a estrutura curricular do ensino técnico agrícola é caracterizada pela fragmentação excessiva do conhecimento, onde ocorre uma completa separação entre o ensino médio e o profissional, o que dificulta o desenvolvimento da capacidade do aluno de relacionar conceitos entre as disciplinas. este estudo teve como objetivo avaliar o papel do ensino experimental, visando a conectar os conhecimentos químicos aos conhecimentos de solos, através da experimentação, do dialogar com colegas e professores, dos acertos e erros, propiciando ao aluno, a possibilidade de chegar à internalização do conhecimento formal, contribuindo para a sua melhoria profissional e capacidade de contextualização. foi utilizada metodologia elaborada a partir da perspectiva construtivista, e o referencial teórico adotado foi o de ausubel (aprendizagem-sjgnificativa). a pesquisa foi realizada com 17 alunos do 3° ano do ensino médio concomitante com o curso técnico em agricultura da eaf-barbacena, que apresentavam conhecimento prévio sobre solos. no início do trabalho, pressupôs-se que devido à fragmentação do ensino, os alunos apresentavam dificuldades em estabelecer a conexão entre os saberes químicos e de solos. para avaliar estas condições, a pesquisa foi organizada em dois momentos, quando no primeiro, foram realizadas três aulas experimentais que tiveram duração de três semanas, com duas aulas de 50 minutos por semana, num total de seis horas-aula, cujos assuntos foram a determinação da matéria orgânica no solo, a determinação de ph do solo e a preparação da calda bordalesa, por meio dos quais o desafio das aulas foi estabelecer ligações entre os conhecimentos de química e de solo, revê-los e refazê-los. no segundo momento, foram elaborados e aplicados dois questionários em dois grupos de alunos. o primeiro questionário teve por meta identificar a visão que os alunos possuem a respeito das aulas de química na sua formação e foi aplicado aos alunos que não participaram das atividades propostas para o desenvolvimento desta pesquisa. o segundo questionário trouxe, além destes objetos de investigação, a avaliação das aulas desenvolvidas e foi aplicado aos alunos que participaram nas atividades propostas na pesquisa. os resultados mostraram que os alunos dos dois grupos reconhecem a importância da química na sua formação técnica, revelando suas dificuldades de compreender a química e relacioná-la com as disciplinas de seu curso técnico que com ela estabelecem vínculos. todos os alunos que participaram das atividades práticas perceberam que o uso da experimentação ajudou na compreensão destas relações e atendeu às expectativas. desta forma, utilizar experimentos como ferramenta para desenvolver a compreensão de conceitos e relacioná-los com solos, fazendo a interdisciplinaridade, é função da experimentação e devem ser explorados no curso técnico em agricultura. a partir dos dados obtidos, foi possível avaliar que as atividades experimentais contribuíram na geração de reflexões que puderam conectar conhecimentos prévios dos alunos, elaborados dentro de seu contexto escolar.","experimentação, interdisciplinaridade, educação agrícola.",q,o papel da experimentação no estudo do solo através do ensino de química: relações entre ensino e aprendizagem numa perspectiva construtivista. q,q
7164,educação jovens e adultos: uma proposta de sequência didática com caráter investigativo no ensino de química,"este trabalho apresenta os resultados da pesquisa de mestrado em ensino na educação básica, que busca investigar o perfil dos alunos da modalidade de ensino educação de jovens e adultos (eja) e propor sequências didáticas de ensino e aprendizagem de química que contemple às necessidades destes alunos. a pesquisa foi desenvolvida com os alunos e a professora de química do 2º ano do ensino médio da eja, na escola estadual de ensino fundamental e médio (eeefm) nestor gomes, localizada no bairro nestor gomes (km 41), na cidade de são mateus/es. a pesquisa obedeceu ao delineamento do tipo qualitativa, caracterizada como pesquisa-ação. para traçar o perfil da turma, foi aplicado aos alunos um questionário diagnóstico contendo questões a cerca da idade, gênero, meio de transporte e tempo gasto de casa até a escola, trabalho e estudos. para a escolha dos conteúdos das sequências didáticas, foi realizada uma entrevista semiestruturada com a professora de química para definir aqueles os quais os alunos geralmente apresentam maior dificuldade de aprendizagem. com isso, foram definidos os temas “soluções” e “equilíbrio ácido-base”. as técnicas de coleta de dados foram pré e pós-questionários aplicados aos alunos, relatos de experiência pessoal, entrevistas com a professora de química e observações, com o intuito de obter informações relevantes e consistentes a respeito da validade do método. a análise dos questionários foi baseada na análise de conteúdo de bardin. os dados do questionário diagnóstico revelam que o perfil da turma é jovem, grande parte dos alunos trabalham no período diurno e gastam mais de trinta minutos de casa à escola. a falta de tempo, aliada à necessidade de trabalhar, afastaram grande parte dos alunos da escola por alguns anos. as características da turma revelam particularidades que merecem um olhar especial e diferenciado, através da adaptação dos conteúdos e metodologias de ensino que contemplem às necessidades destes educandos. a entrevista com a professora de química revelou as dificuldades enfrentadas na adaptação dos conteúdos e metodologias para os alunos da eja, aliadas, contudo, à vontade de adaptá-los às necessidades destes educandos. as sequências didáticas foram elaboradas de acordo com os parâmetros curriculares nacionais de química (pcn), com uma abordagem investigativa, visando à aprendizagem significativa por parte dos alunos. a análise dos dados obtidos através dos questionários, relatos, entrevistas e observações mostrou que a metodologia aplicada possibilitou aos educandos a oportunidade de reconstruírem e reelaborarem seus conceitos prévios sobre soluções e equilíbrio ácido-base, o que revela o potencial significativo do processo de ensino e aprendizagem com a aplicação das sequências didáticas. autores como ausubel, moreira, dewey e delizoicov fundamentam teoricamente a pesquisa a respeito da aplicação de sequências didáticas de caráter investigativo com foco na aprendizagem significativa.",ensino de química; eja; aprendizagem significativa.,q,educação jovens e adultos: uma proposta de sequência didática com caráter investigativo no ensino de química q,q
3280,o museu como espaço educativo: uma proposta metodológica para o museu oceanográfico univali.,"o museu – instituição sem fins lucrativos com propósitos de pesquisa, educação e lazer – comprometido com o processo educacional, desempenha uma ação cultural e educativa no âmbito da educação formal, não formal e informal, apresentando ao indivíduo o patrimônio cultural de que é herdeiro e da sua capacidade de utilizá-lo e criá-lo. os museus de ciências, além de desempenharem um papel fundamental na divulgação da ciência, têm funções essenciais, como passar de uma concepção mais passiva do público para uma concepção de interatividade dinâmica do visitante com os experimentos e experiências que o museu exibe. a lógica do “aprender fazendo” substitui a fórmula da aprendizagem contemplativa. o fato de esses museus serem “vivos” é que os diferencia dos museus do século passado, que simplesmente exibiam objetos usados pela ciência ou pela indústria. o museu como agência de educação informal, ou mesmo como um “ecossistema educativo” (candau, 2000), pode realizar uma aproximação interativa com a sociedade, estimulando as diversas formas de percepção dos indivíduos. o objetivo deste trabalho foi apresentar uma proposta de programa educativo para o museu oceanográfico univali, em itajaí/sc. quanto à metodologia, o trabalho utilizou a pesquisa descritiva no formato survey tipo transversal. os critérios utilizados para a escolha das instituições seguiram duas condições: serem museus – possuírem acervos e terem caráter de popularização e divulgação da ciência no brasil. na primeira etapa da pesquisa foi realizado o levantamento dos três museus selecionados, utilizando-se de material bibliográfico e de divulgação, além da consulta aos sítios institucionais disponíveis na internet. para a segunda etapa, foi encaminhado para os responsáveis pelos setores educativos dos museus um questionário abrangendo informações sobre dados institucionais, caracterização física, acervo, programas educativos, públicos, recursos humanos e orçamento. a terceira etapa da pesquisa consistiu na tabulação das informações com ênfase nas atividades dos programas dos museus. finalmente na quarta etapa foi realizado o planejamento do programa educativo do museu oceanográfico univali. a proposta incorpora elementos da abordagem crítica na educação, resguardando, no entanto, a complementaridade, mas também as especificidades entre a educação formal e a não formal que ocorre nos museus de ciência e tecnologia. aponta também para a capacidade de o visitante integrar informações e processa-las, cabendo ao educador do museu planejar situações de aprendizagem em que os conteúdos e os métodos sejam coerentes com o desenvolvimento da compreensão de cada grupo. numa sociedade complexa como a brasileira, rica em manifestações culturais diversificadas, o papel dos museus é de fundamental importância para a valorização do patrimônio cultural como dispositivo estratégico de aprimoramento dos processos democráticos. para cumprir seu papel no processo educativo, o museu pode ser e estar a serviço da sociedade e do seu desenvolvimento.  ","museus, educação ambiental, educação patrimonial, museu oceanográfico univali.",c,o museu como espaço educativo: uma proposta metodológica para o museu oceanográfico univali. c,c
559,concepções alternativas em óptica.,"descreve as concepções alternativas de estudantes de 2o grau acerca da luz e do processo da visão. entrevista sete estudantes e aplica dois questionários a um total de 250 estudantes de escolas pública e particular de juiz de fora -mg. as concepções alternativas apresentadas pelos sujeitos da pesquisa não diferiram muito daquelas encontradas por guesne com estudantes franceses e por la rosa com estudantes italianos. constata que os estudantes são consistentes com a interpretação de que a função da luz é clarear o objeto mas ela (a luz) não está diretamente envolvida com o processo da visão. além disso, por fazer parte do cotidiano dos estudantes, a luz não consegue chamar a atenção, por si própria, exceto em casos extremos da falta de luz ou de excesso de claridade. os estudantes não assimilam o comportamento dinâmico da luz e, embora utilizando o traçado de raios luminosos e usando palavras como entrar e chegar, o máximo que eles conseguem é associar o movimento da luz ao movimento da fonte luminosa; estes raios luminosos e estas palavras foram utilizadas no sentido estático-geométrico. os modelos alternativos sobre a luz e o processo da visão estão associados à chamada metodologia da superficialidade onde o estudante interpreta o fenômeno superficialmente e em nível de sua percepção imediata.",alternativas;; ensino de física; metodologia de ensino;; concepções; optica.,f,concepções alternativas em óptica. f,f
